"Locale","ASIN","Product Codes: EAN","Image","Title","Brand","Buy Box 🚚: Current","Buy Box 🚚: 90 days avg.","Sales Rank: 90 days avg.","Sales Rank: 90 days drop %","Bought in past month","Buy Box 🚚: 90 days OOS","Buy Box: Is FBA","Buy Box Seller","Sales Rank: 30 days avg.","Buy Box 🚚: 30 days avg.","Buy Box 🚚: 180 days avg.","Buy Box 🚚: 1 day drop %","Buy Box 🚚: 7 days drop %","Buy Box 🚚: 30 days drop %","Buy Box 🚚: 90 days drop %","Buy Box 🚚: Price drop since last visit","Buy Box 🚚: Drop % since last visit","Buy Box 🚚: Last visit","Buy Box 🚚: Lowest","Buy Box 🚚: Is Lowest","Buy Box 🚚: Is Lowest 90 days","Buy Box 🚚: Highest","Buy Box 🚚: Stock","Buy Box 🚚: Availability of the Buy Box","Amazon: Current","Amazon: 90 days avg.","Buy Box: % Amazon 90 days","Amazon: 90 days OOS","Amazon: 30 days avg.","Amazon: 180 days avg.","Amazon: 1 day drop %","Amazon: 7 days drop %","Amazon: 30 days drop %","Amazon: 90 days drop %","Amazon: Price drop since last visit","Amazon: Drop % since last visit","Amazon: Last visit","Amazon: Lowest","Amazon: Is Lowest","Amazon: Is Lowest 90 days","Amazon: Highest","Amazon: Stock","Amazon: OOS Count 30 days","Amazon: OOS Count 90 days","Amazon: Availability of the Amazon offer","Amazon: Amazon offer shipping delay","Buy Box: % Top Seller 90 days","Buy Box: % Amazon 30 days","Buy Box: Winner Count 90 days","Count of retrieved live offers: New, FBA","Count of retrieved live offers: New, FBM","Buy Box: % Amazon 180 days","Buy Box: % Amazon 365 days","Buy Box: % Top Seller 30 days","Buy Box: % Top Seller 180 days","Buy Box: % Top Seller 365 days","Buy Box: Winner Count 30 days","Buy Box: Winner Count 180 days","Buy Box: Winner Count 365 days","New: Current","New: 30 days avg.","New: 90 days avg.","New: 180 days avg.","New: 1 day drop %","New: 7 days drop %","New: 30 days drop %","New: 90 days drop %","New: Price drop since last visit","New: Drop % since last visit","New: Last visit","New: Lowest","New: Is Lowest","New: Is Lowest 90 days","New: Highest","New: 90 days OOS","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","Categories: Root","Categories: Sub","Categories: Tree","Categories: Launchpad","Product Codes: PartNumber","Item: Dimension (cm³)","Item: Weight (g)","Is HazMat"
"it","B07B65CCJB","3614271992932","https://m.media-amazon.com/images/I/61DyBB45+IL.jpg;https://m.media-amazon.com/images/I/71W4kn3Jv-L.jpg;https://m.media-amazon.com/images/I/41T6YaKGwmL.jpg;https://m.media-amazon.com/images/I/41hJfGvy7uL.jpg;https://m.media-amazon.com/images/I/31CDGkBLdlL.jpg;https://m.media-amazon.com/images/I/41mvENsTCkL.jpg","Acqua di Gi√≤ Absolu","GIORGIO ARMANI","","","85459","3 %","","100 %","no","","81567","","€ 121.60","","","","","","","","€ 85.99","no","no","€ 166.50","","","","","-","100 %","","","","","","","","","","€ 83.07","no","no","€ 150.99","","1","1","no Amazon offer exists","","-","-","","","","-","5 %","-","28 %","27 %","","2","9","","€ 166.53","€ 163.76","€ 147.60","","","","","","","","€ 76.17","no","no","€ 183.59","4 %","€ 4.23","15.45 %","-","Bellezza","Eau de Parfum, Eau de Toilette disponibili","Bellezza › Fragranze e profumi › Uomo › Eau de Parfum","no","3614271992932","48","119","yes"
"it","B00T9VZMWW","3145891073706, 0751125331875, 7432531775769, 8904135205656, 5054249384501","https://m.media-amazon.com/images/I/41ewlGMNlZL.jpg;https://m.media-amazon.com/images/I/51zAw2kr96L.jpg;https://m.media-amazon.com/images/I/71zCuccHCFL.jpg;https://m.media-amazon.com/images/I/51I9rVP4CeL.jpg","CHANEL - BLEU DE CHANEL, Eau de Parfum Spray per gli uomini, 150 ml","Chanel","€ 193.00","€ 161.37","28654","-13 %","","75 %","no","3rd Party (ATOGCWC1WP4O6)","31581","€ 193.00","€ 164.15","0 %","0 %","0 %","-20 %","","","","€ 94.50","no","no","€ 202.36","1","Disponibilità immediata","","","-","100 %","","","","","","","","","","€ 94.50","no","no","€ 190.32","","1","1","no Amazon offer exists","","20 %","-","4","0","6","-","-","1 %","10 %","5 %","1","6","9","€ 183.00","€ 183.00","€ 176.91","€ 178.77","0 %","0 %","0 %","-3 %","€ 0.00","0 %","€ 183.00","€ 70.50","no","no","€ 198.00","0 %","€ 4.23","15.45 %","€ 29.82","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Uomo › Eau de Parfum","no","P-3O-303-B6","838","142","yes"
"it","B001VMM3NS","0747930009788, 0710069473898","https://m.media-amazon.com/images/I/51cOrRA6NnL.jpg;https://m.media-amazon.com/images/I/31b77tPZA+L.jpg;https://m.media-amazon.com/images/I/41ly7jJU+1L.jpg;https://m.media-amazon.com/images/I/21xonkViwHL.jpg","The Body Cr√®me","La Mer","€ 239.43","€ 235.15","125372","-17 %","","1 %","yes","Amazon","110085","€ 239.16","€ 233.77","0 %","1 %","0 %","-2 %","€ 0.00","0 %","€ 239.43","€ 185.86","no","no","€ 366.00","","Disponibilità immediata","€ 239.43","€ 237.47","32 %","41 %","€ 241.73","€ 237.46","0 %","1 %","1 %","-1 %","€ 0.00","0 %","€ 239.43","€ 185.86","no","no","€ 304.07","","0","2","Amazon offer is in stock and shippable","","38 %","79 %","3","","","35 %","21 %","79 %","35 %","41 %","2","3","5","€ 239.43","€ 238.87","€ 230.90","€ 237.68","0 %","1 %","0 %","-4 %","€ 0.00","0 %","€ 239.43","€ 185.86","no","no","€ 391.67","0 %","€ 6.37","15.45 %","€ 36.99","Bellezza","Creme per il corpo","Bellezza › Cura della pelle › Corpo › Idratanti › Creme per il corpo","no","U-SC-3222","1179","20","no"
"it","B002XIU1TM","3145891124408, 8447186116453, 8447186226459, 8447187174858, 8447188187437, 8447188515643, 8447190156483, 8447191316459, 8447191440420, 8447191766421, 8447215116454, 8447215332410, 8447215548484","https://m.media-amazon.com/images/I/41CTcUZ0nzL.jpg;https://m.media-amazon.com/images/I/41CTcUZ0nzL.jpg;https://m.media-amazon.com/images/I/41Jrx1PqG8L.jpg;https://m.media-amazon.com/images/I/41V0OqhSyJL.jpg","Chanel Allure Eau de Parfum, 35 ml","Chanel","€ 100.75","€ 100.13","66193","17 %","","1 %","no","3rd Party (A3CYRQE5KQP4CW)","58867","€ 100.55","€ 99.47","0 %","0 %","0 %","-1 %","€ 0.00","0 %","€ 100.75","€ 57.55","no","no","€ 116.00","1","Disponibilità immediata","","€ 97.86","-","54 %","€ 103.89","€ 95.71","","","","","","","","€ 37.81","no","no","€ 107.90","","4","4","no Amazon offer exists","","62 %","-","4","0","3","-","4 %","75 %","57 %","41 %","4","5","8","€ 92.00","€ 91.88","€ 90.59","€ 90.31","0 %","0 %","0 %","-2 %","€ 0.00","0 %","€ 92.00","€ 37.81","no","no","€ 125.00","0 %","€ 4.00","15.45 %","€ 15.57","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","112440","1969","35","yes"
"it","B0042KFHDY","8447191442172, 4548875149425, 8447191318200, 3145891074505, 0110300802058, 8447190158234, 0187694565708","https://m.media-amazon.com/images/I/41ewlGMNlZL.jpg;https://m.media-amazon.com/images/I/41us+AxEPqL.jpg;https://m.media-amazon.com/images/I/31TKDtVGp7L.jpg","Chanel, Eau de Toilette con vaporizzatore Bleu De Chanel, 50 ml","Chanel","€ 114.90","€ 107.11","29250","64 %","","19 %","no","3rd Party (A2JXVDP4468930)","27443","€ 110.00","€ 105.33","-3 %","-3 %","-4 %","-7 %","€ 0.00","0 %","€ 114.90","€ 40.84","no","no","€ 129.06","1","Disponibilità immediata","","€ 57.00","-","95 %","","€ 57.00","","","","","","","","€ 40.47","no","no","€ 103.00","","1","2","no Amazon offer exists","","32 %","-","8","0","3","-","-","48 %","41 %","23 %","5","10","13","€ 109.00","€ 108.02","€ 101.27","€ 96.73","0 %","0 %","-1 %","-8 %","€ 0.00","0 %","€ 109.00","€ 30.90","no","no","€ 166.76","0 %","€ 4.00","15.45 %","€ 17.75","Bellezza","Eau de Toilette, Eau de Toilette, Eau non disponibili","Bellezza › Fragranze e profumi › Donna › Eau de Toilette","no","CHANEL-074505","7707","","yes"
"it","B0000DGSG0","4009839173622","https://m.media-amazon.com/images/I/616FH70hGfL.jpg;https://m.media-amazon.com/images/I/A19Ag84uS9L.jpg;https://m.media-amazon.com/images/I/A1gAbhNJ+CL.jpg;https://m.media-amazon.com/images/I/71d9qj6I2VL.jpg","ZWILLING Coltello Santoku, Acciaio Inossidabile, Nero, 18 cm","ZWILLING","€ 62.42","€ 62.90","283641","5 %","","2 %","yes","3rd Party (AG6SUVQJP8CQJ)","235013","€ 62.52","€ 64.12","0 %","0 %","0 %","1 %","€ 0.00","0 %","€ 62.42","€ 61.56","no","yes","€ 77.24","8","Disponibilità immediata","","€ 62.97","20 %","55 %","€ 62.93","€ 64.43","","","","","","","","€ 61.56","no","no","€ 84.96","","1","5","no Amazon offer exists","","67 %","27 %","3","1","10","31 %","54 %","69 %","41 %","54 %","2","4","5","€ 62.42","€ 62.42","€ 62.78","€ 63.89","0 %","0 %","0 %","1 %","€ 0.00","0 %","€ 62.42","€ 57.00","no","yes","€ 70.00","0 %","€ 5.78","15.44 %","€ 9.64","Casa e cucina","Coltelli Santoku, Negozio di Cucina Premium, Sconto 20% su prodotti Ballarini, Offerte d'autunno in Casa e cucina","Casa e cucina › Utensili da cucina › Coltelli da cucina › Coltelli asiatici › Coltelli Santoku","no","1006850","60","249","no"
"it","B0CZ7BLNRR","3614274162998","https://m.media-amazon.com/images/I/513+zc9zFRL.jpg","Valentino Donna Born in Roma Eau de Parfum Gift Set 3.4 Fl Oz Spray 1.7 Fl Oz Body Lotion 0.5 Fl Oz Spray","Valentino","","","","","","-","no","","","","","","","","","","","","","no","no","","","","","","-","100 %","","","","","","","","","","","no","no","","","1","1","no Amazon offer exists","","-","-","","","","-","-","-","-","-","","","","","","","","","","","","","","","","no","no","","100 %","€ 5.69","15.45 %","-","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","QOG24-Val-62998","","","yes"
"it","B00QA9HJDQ","0783320845536, 0783320411687","https://m.media-amazon.com/images/I/61bz0oGjxVL.jpg;https://m.media-amazon.com/images/I/61gRvFuEegL.jpg;https://m.media-amazon.com/images/I/51+WdbST5IL.jpg;https://m.media-amazon.com/images/I/21WBnwNeXML.jpg","Bvlgari Petit et Mamans Lozione per il Corpo - 200ml","BVLGARI","€ 50.39","€ 44.58","56631","44 %","","45 %","no","3rd Party (A26M3ZI49MPCHM)","63395","€ 48.05","€ 43.88","-1 %","-3 %","-5 %","-13 %","€ 0.00","0 %","€ 50.39","€ 13.49","no","no","€ 55.05","5","Generalmente  spedito entro 2-3 giorni","","","-","100 %","","","","","","","","","","€ 13.49","no","no","€ 37.49","","1","1","no Amazon offer exists","","30 %","-","3","0","1","-","-","31 %","16 %","16 %","2","6","6","€ 47.40","€ 43.22","€ 43.28","€ 43.26","0 %","-3 %","-10 %","-10 %","€ 0.00","0 %","€ 47.40","€ 13.49","no","no","€ 55.05","0 %","€ 4.13","15.46 %","€ 7.79","Bellezza","Lozioni e balsami per il corpo","Bellezza › Cura della pelle › Corpo › Idratanti › Lozioni e balsami per il corpo","no","0783320845536","810","200","no"
"it","B08JQCZDM4","3145891162608","https://m.media-amazon.com/images/I/61vHzMtTJ3L.jpg;https://m.media-amazon.com/images/I/61qMUbGt4yL.jpg;https://m.media-amazon.com/images/I/51YdSqPs9yL.jpg;https://m.media-amazon.com/images/I/81OYHtNagtL.jpg;https://m.media-amazon.com/images/I/61UmYo9FFlL.jpg;https://m.media-amazon.com/images/I/61u7BiHmf7L.jpg;https://m.media-amazon.com/images/I/71MBYnHKElL.jpg;https://m.media-amazon.com/images/I/51j0eB4V4YL.jpg","Coco Mademoiselle L¬¥Eau Priv√©e","Chanel","€ 165.00","€ 168.26","60478","41 %","","26 %","yes","3rd Party (A2V9MANIN13E4V)","57722","€ 172.02","€ 164.10","0 %","2 %","4 %","2 %","€ 0.00","0 %","€ 165.00","€ 113.30","no","no","€ 199.40","1","Disponibilità immediata","","€ 168.40","6 %","73 %","€ 172.65","€ 168.40","","","","","","","","€ 126.98","no","no","€ 183.08","","8","11","no Amazon offer exists","","32 %","16 %","7","1","3","3 %","2 %","51 %","25 %","17 %","4","7","9","€ 165.00","€ 169.58","€ 179.60","€ 172.09","0 %","0 %","3 %","8 %","€ 0.00","0 %","€ 165.00","€ 120.00","no","no","€ 250.82","0 %","€ 4.00","15.45 %","€ 25.49","Bellezza","Eau de Toilette","Bellezza › Fragranze e profumi › Donna › Eau de Toilette","no","CNLNCW076","894","100","yes"
"it","B004R6HORK","3145891254075","https://m.media-amazon.com/images/I/51QNFtbo8jL.jpg;https://m.media-amazon.com/images/I/71R7Ntlk5tL.jpg","Chanel No. 5, Eau de Parfum da donna, 3 pz. X 20 ml","Chanel","","€ 152.00","84070","38 %","","82 %","no","","75716","€ 152.00","€ 152.00","","","","","","","","€ 92.59","no","no","€ 165.40","","","","","-","100 %","","","","","","","","","","€ 92.59","no","no","€ 114.15","","1","1","no Amazon offer exists","","18 %","-","1","0","3","-","-","11 %","9 %","4 %","1","1","2","€ 163.30","€ 160.54","€ 160.67","€ 158.44","0 %","-1 %","-2 %","-2 %","€ 0.00","0 %","€ 163.30","€ 92.59","no","no","€ 172.00","0 %","€ 4.00","15.45 %","-","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","P-XA-040-03","500","60","yes"
"it","B00008S0TA","4009839037009","https://m.media-amazon.com/images/I/51dak5kwFkL.jpg;https://m.media-amazon.com/images/I/91k2US5cNaL.jpg;https://m.media-amazon.com/images/I/81c-FjCp0gL.jpg;https://m.media-amazon.com/images/I/81FH-nbb9xL.jpg;https://m.media-amazon.com/images/I/71yVNANHRIL.jpg","Zwilling Vier Sterne Coltello Universale, Acciaio Inossidabile, Nero, 13 cm","ZWILLING","€ 44.37","€ 41.68","675693","-2 %","","2 %","yes","Amazon","685289","€ 42.77","€ 43.17","3 %","4 %","-4 %","-6 %","€ 0.00","0 %","€ 44.37","€ 26.63","no","no","€ 57.06","1000","Generalmente  spedito entro 3-4 giorni","€ 44.37","€ 42.35","47 %","1 %","€ 43.82","€ 43.72","6 %","6 %","-1 %","-5 %","€ 0.00","0 %","€ 44.37","€ 25.00","no","no","€ 51.95","1000","0","1","Amazon offer is in stock and shippable","","47 %","45 %","3","2","3","56 %","74 %","45 %","56 %","74 %","3","3","4","€ 31.73","€ 37.81","€ 39.26","€ 39.96","0 %","0 %","16 %","19 %","€ 0.00","0 %","€ 31.73","€ 25.00","no","yes","€ 58.73","1 %","€ 5.08","15.45 %","€ 6.86","Casa e cucina","Coltelli per lardellare, Negozio di Cucina Premium","Casa e cucina › Utensili da cucina › Coltelli da cucina › Coltelli per lardellare","no","1006829","50","142","no"
"it","B000ZIRK6Y","6909110373643, 3145891375008, 0887456651020, 0192177900709, 6909121877741, 0882168064304, 6909120536441, 0883782090021, 0044440802091, 0885198147474","https://m.media-amazon.com/images/I/41aX6DsMQZL.jpg;https://m.media-amazon.com/images/I/51RPpqYcuKL.jpg","Chanel 15342 Specchio","Chanel","","€ 50.83","367794","-32 %","","31 %","no","","324510","€ 49.97","€ 55.86","","","","","","","","€ 30.60","no","no","€ 69.99","","","","€ 50.56","6 %","93 %","€ 50.02","€ 50.59","","","","","","","","€ 30.60","no","no","€ 60.02","","3","5","no Amazon offer exists","","33 %","18 %","4","","","3 %","9 %","18 %","30 %","23 %","2","4","4","","€ 68.25","€ 53.42","€ 57.53","","","","","","","","€ 26.32","no","no","€ 89.99","14 %","€ 3.24","15.45 %","-","Casa e cucina","Specchi da tavolo","Casa e cucina › Bagno › Accessori per il bagno › Specchi › Specchi da tavolo","no","137500","","30","no"
"it","B06X9DCQSR","3145891073003","https://m.media-amazon.com/images/I/51lcsl0PhEL.jpg;https://m.media-amazon.com/images/I/51M9R6lS2gL.jpg;https://m.media-amazon.com/images/I/51fIsht2NjL.jpg","Chanel Bleu Edp Vapo Voyage Refill, 60 ml","Chanel","€ 139.00","€ 135.04","28351","-9 %","","4 %","no","3rd Party (ATOGCWC1WP4O6)","31032","€ 118.47","€ 135.08","0 %","-6 %","-17 %","-3 %","€ 0.00","0 %","€ 139.00","€ 54.38","no","no","€ 148.32","1","Disponibilità immediata","€ 102.62","€ 128.06","59 %","30 %","€ 110.94","€ 129.24","0 %","0 %","7 %","20 %","€ 0.00","0 %","€ 102.62","€ 54.38","no","yes","€ 152.29","","0","1","Amazon offer is back-ordered","","59 %","75 %","5","1","3","29 %","14 %","75 %","29 %","41 %","2","7","8","€ 102.62","€ 109.00","€ 126.92","€ 126.28","0 %","0 %","6 %","19 %","€ 0.00","0 %","€ 102.62","€ 54.38","no","yes","€ 153.01","0 %","€ 4.00","15.45 %","€ 21.48","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","3145891073003","600","60","yes"
"it","B08NH28YVD","0888066107914","https://m.media-amazon.com/images/I/71TkiS3F1TL.jpg;https://m.media-amazon.com/images/I/71A3x5bBd1L.jpg;https://m.media-amazon.com/images/I/71CqaWYZ7pL.jpg;https://m.media-amazon.com/images/I/71KdhuuMhSL.jpg","Tom Ford Eau De Parfum Lost Cherry Unisex, 30 ml","Tom Ford","","€ 183.60","76841","-16 %","","95 %","no","","64110","€ 207.56","€ 188.34","","","","","","","€ 208.95","€ 111.67","no","no","€ 257.75","","","€ 208.95","€ 205.89","2 %","96 %","€ 205.89","€ 205.89","0 %","-1 %","-1 %","-1 %","€ 0.00","0 %","€ 208.95","€ 111.67","no","no","€ 257.75","","1","1","Amazon offer is back-ordered","","3 %","7 %","2","1","3","1 %","17 %","7 %","7 %","17 %","1","4","7","€ 200.63","€ 196.21","€ 194.72","€ 197.83","0 %","0 %","-2 %","-3 %","€ 0.00","0 %","€ 200.63","€ 111.67","no","no","€ 243.97","0 %","€ 4.23","15.45 %","-","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","8003335","","96","yes"
"it","B00IQS4QGW","0888066020718","https://m.media-amazon.com/images/I/71aAuR4F7dL.jpg;https://m.media-amazon.com/images/I/61W20-sEkEL.jpg","Tom Ford Neroli Portofino All Over Body 150 ml","Tom Ford","€ 60.00","€ 75.32","85072","59 %","","48 %","yes","Amazon","61955","€ 76.22","€ 69.89","0 %","12 %","21 %","20 %","€ 0.00","0 %","€ 60.00","€ 44.20","no","yes","€ 79.46","3","Disponibilità immediata","€ 60.00","€ 60.00","8 %","93 %","€ 60.00","€ 60.00","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 60.00","€ 44.20","no","yes","€ 66.99","3","1","2","Amazon offer is in stock and shippable","","28 %","15 %","3","1","2","21 %","28 %","78 %","21 %","28 %","3","4","4","€ 60.00","€ 72.86","€ 94.41","€ 82.33","0 %","10 %","18 %","36 %","€ 0.00","0 %","€ 60.00","€ 44.20","no","yes","€ 129.99","4 %","€ 4.54","15.45 %","€ 9.27","Bellezza","Eau de Toilette","Bellezza › Fragranze e profumi › Uomo › Eau de Toilette","no","0888066020718","1","142","yes"
"it","B09YLKSYMC","0888066136778","https://m.media-amazon.com/images/I/71tJneJlKQL.jpg;https://m.media-amazon.com/images/I/71X4kOJ22+L.jpg;https://m.media-amazon.com/images/I/71F71VjLvKL.jpg;https://m.media-amazon.com/images/I/71Yt6NpPGLL.jpg;https://m.media-amazon.com/images/I/41ZgHhAPIPL.jpg","Tom Ford Costa Azzurra Parfum spray 50 ml","Tom Ford","€ 150.93","€ 150.31","103376","-69 %","","1 %","no","3rd Party (A2IC1AAFRI354X)","121235","€ 150.78","€ 150.64","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 150.93","€ 120.17","no","no","€ 158.84","1","Disponibilità immediata","","","-","100 %","","","","","","","","","","€ 120.17","no","no","€ 145.00","","1","1","no Amazon offer exists","","67 %","-","3","0","3","-","23 %","79 %","60 %","30 %","3","6","8","€ 150.93","€ 151.05","€ 150.40","€ 152.01","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 150.93","€ 117.80","no","no","€ 165.30","0 %","€ 4.54","15.45 %","€ 23.32","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","0888066136778","734","50","yes"
"it","B07QX6J6X2","3145891588309","https://m.media-amazon.com/images/I/511IH02S7WL.jpg;https://m.media-amazon.com/images/I/61Z+e-IIrtL.jpg;https://m.media-amazon.com/images/I/61G48wSDicL.jpg;https://m.media-amazon.com/images/I/41Ny8ilphlL.jpg","Les Beiges Eau De Teint Medium 30 Ml","Chanel","€ 73.00","€ 73.62","140806","15 %","","34 %","yes","Amazon","139662","€ 73.83","€ 74.04","0 %","2 %","1 %","1 %","€ 0.00","0 %","€ 73.00","€ 60.00","no","yes","€ 89.54","","Generalmente  spedito entro 6-7 mesi","€ 73.00","€ 73.45","65 %","35 %","€ 73.83","€ 73.32","0 %","2 %","1 %","1 %","€ 0.00","0 %","€ 73.00","€ 60.35","no","yes","€ 82.27","","2","7","Amazon offer is back-ordered","","65 %","85 %","2","1","1","45 %","24 %","85 %","45 %","24 %","1","4","5","€ 72.50","€ 76.94","€ 78.71","€ 85.53","0 %","0 %","6 %","8 %","€ 0.00","0 %","€ 72.50","€ 60.00","no","no","€ 137.85","1 %","€ 3.90","15.45 %","€ 11.28","Bellezza","Fondotinta","Bellezza › Trucco › Viso › Fondotinta","no","3145891588309","2744","28","no"
